ID,ANIO,NUCLEO_FAMILIAR,EDAD,SEXO,ZONA,CONDUCTA_INAPROPIADA,NOTA,TIPO,SEGURO,RETRASOS,NIVEL
1112,2012,1,8,0,4,6,15.038611,0,0,85,1
1116,2012,2,8,0,0,2,16.607777,0,0,12,1
1124,2012,1,13,0,7,9,13.131486,0,1,13,0
1131,2012,1,9,1,0,11,16.5828,0,0,31,0
1137,2012,1,12,0,0,7,12.927246,0,0,19,0
1228,2012,0,12,0,0,1,15.227536,0,0,22,0
1230,2012,1,8,1,2,2,13.852318,0,0,26,0
1370,2012,0,9,0,10,11,13.18507,0,0,21,1
1526,2012,1,8,0,6,4,14.465555,0,0,45,1
1622,2012,1,8,1,10,2,15.475555,0,1,66,1
1636,2012,1,15,0,2,14,12.027391,0,1,15,0
